address,latitude,longitude
"St Triduanas Rest, Edinburgh",-3.148560055236,55.961042999422
"Manor Place, West End, Edinburgh, EH3",-3.216301233011,55.94933958377
"Raeburn Street, Stockbridge, Edinburgh, EH4",-3.212444983987,55.958610014505
"Jordan Lane, Morningside, Edinburgh, EH10",-3.207218687848,55.927287914551
"Orchard Brae Avenue, Comely Bank, Edinburgh, EH4",-3.227782819743,55.955557866865
"Dean Park Street, Edinburgh, EH4",-3.214906815133,55.958175453065
"Stewart Terrace, Edinburgh, EH11",-3.233860428192,55.936106990613
"Comely Bank Street, Comely Bank, Edinburgh, EH4",-3.219548066108,55.958680407628
"Stewart Terrace, Edinburgh EH11 1UT",-3.233860428192,55.936106990613
"Ardmillan Place, Edinburgh EH11 2JU",-3.225263423103,55.938604027774
"Bellevue Road, New Town, Edinburgh, EH7",-3.189105288442,55.962408875363
"Winton Park, Edinburgh EH10 7EX",-3.202445663709,55.897632423428
"Wheatfield Place, Gorgie, Edinburgh, EH11",-3.235371702265,55.93842532958
"Relugas Road, Grange, Edinburgh, EH9",-3.18049295699,55.929959180293
"Morningside Drive, Morningside, Edinburgh, EH10",-3.216299258466,55.922662073783
"Montague Street, Newington, Edinburgh, EH8",-3.180335076848,55.941996257417
"Forrest Road, Meadows, Edinburgh, EH1",-3.191064834794,55.945855836025
"Kimmerghame Terrace, Fettes, Edinburgh",-3.234026078477,55.967248592347
"Young Street South Lane, Edinburgh, EH2",-3.204549985567,55.952994998523
 Western Harbour Way Edinburgh EH6 6LP United Kingdom,-3.192085400205,55.985201775098
"East Claremont Street, New Town, Edinburgh, EH7",-3.191697593208,55.962537241916
"Learmonth Avenue, Edinburgh, EH4",-3.221925024525,55.957580655291
"Murieston Terrace, Edinburgh, EH11",-3.226388754342,55.940139983663
"Yeaman Place, Edinburgh, Midlothian, EH11",-3.218811544824,55.93936965917
"Papermill Wynd Underground, Bellevue, Edinburgh, EH7",-3.185813386906,55.964829050795
"Murieston Crescent, Edinburgh, EH11",-3.226697096705,55.940652842836
"Lady Lawson Street, Edinburgh, ",-3.200648709731,55.945903773891
"Blackfriars Street, Edinburgh EH1 1NB",-3.185886757023,55.949655608108
"Marischal Place, Edinburgh EH4 3NE",-3.250142701319,55.957682782201
"March Road, Edinburgh, Midlothian, EH4",-3.264252120288,55.959906519568
"Westfield Road, Edinburgh, EH11",-3.241772387867,55.938518496465
"Glenbrook Road, Balerno, Edinburgh, EH14",-3.359828464352,55.880738792577
"West Montgomery Place, Hillside, Edinburgh, EH7",-3.178579362322,55.95986498553
"Albion Road, Leith, Edinburgh, EH7",-3.167665315397,55.961719605353
"Restalrig Road South, Restalrig, Edinburgh, EH7",-3.150354338818,55.959566045914
"Ocean Drive, Edinburgh, Midlothian, EH6",-3.168907656337,55.978935096128
"St Stephen Street, Edinburgh EH3 5AA",-3.204988459218,55.958631765641
"Viewforth Square, Edinburgh EH10 4LW",-3.210195105674,55.939096210668
"Bryson Road, Polwarth, Edinburgh, EH11",-3.222138525203,55.938402838651
"Clearburn Gardens, Edinburgh, EH16",-3.159938015205,55.932521710238
"Cumberland St S W Lane, Edinburgh, EH3",-3.201493567012,55.958089399014
"Spylaw Street, Colinton, Edinburgh",-3.25666129171,55.908127727216
"Drumsheugh Place, Edinburgh, EH3",-3.212489357398,55.951605719803
"Davis Terrace, Craigleith, Edinburgh, EH4",-3.236721440102,55.960087863767
"Dickson Street, Leith, Edinburgh",-3.172043619589,55.964099147381
"Lawnmarket, Edinburgh, EH1",-3.192309976179,55.949490000936
"White Park, Edinburgh, EH11",-3.231884140904,55.937300000033
"South Gyle Road, Edinburgh",-3.29592051397,55.937206539601
"Corbiehill Road, Edinburgh, EH4",-3.266284428312,55.963861233376
"Waterfront Park, Edinburgh, Midlothian, EH5",-3.252740019584,55.976980003052
"Merchiston Grove, Shandon, Edinburgh, EH11",-3.230030128413,55.934556135801
"Pleasance, Edinburgh, EH8",-3.182766017438,55.948979579331
"Comely Bank Place, Comely Bank, Edinburgh, EH4",-3.216856688893,55.958755183915
"Hopetoun Street, Broughton, Edinburgh, EH7",-3.185712898506,55.962609575633
"Inglis Green Rigg, Slateford, Edinburgh, EH14",-3.252295295854,55.923213932768
"Sheriff Bank, Leith, Edinburgh, EH6",-3.174627886934,55.974935502483
"Glenogle Road, Canonmills, Edinburgh, EH3",-3.206651237308,55.961378582002
"Sheriff Park, Leith, Edinburgh, EH6",-3.17582820418,55.97486340067
"Merchiston Grove, Edinburgh, EH11",-3.230030128413,55.934556135801
"Broughton Place, Edinburgh, Midlothian, EH1",-3.188720445267,55.958652895532
"West Preston Street, Newington, Edinburgh, EH8",-3.180723200338,55.939084877387
"Breadalbane Street, Bonnington, Edinburgh, EH6",-3.180239311096,55.971418717716
"James Street, Portobello, Edinburgh, EH15",-3.103347256286,55.950950564446
"Melville Street, West End, Edinburgh, EH3",-3.21244711733,55.950416984664
"The Shore, Edinburgh, EH6",-3.171919990877,55.974945002689
"Iona Street, Edinburgh, EH6",-3.174182388178,55.963594986974
"Corstorphine Hill Avenue, Corstorphine, Edinburgh, EH12",-3.276784462656,55.946357986609
"East Camus Place, Edinburgh, EH10",-3.211905021785,55.904939996966
"North Werber Road, Fettes, Edinburgh, EH4",-3.23026998119,55.96617900436
"Heriot Row, Edinburgh",-3.202354331573,55.95529825041
"Craigend Park, Edinburgh, EH16",-3.150954545556,55.918732068491
"Milton Road East, Edinburgh, EH15",-3.091079681233,55.945623379562
"Jordan Lane, EDINBURGH, EH10",-3.207218687848,55.927287914551
